SampleTime,Process Mode,Oxygen Consumption -Top,Furnace Power,CombustionChamber Pressure,Suction Damper Position feedback,FDC inlet Temprature,FDC Outlet Temp,FDC Outlet Temp - Upperside,DP across FDC,FDC Outlet Pressure,Pressure at Gas Mixter inlet,Temp at BagHouse Inlet - UpperSide,Temp at BagHouse Inlet - LowerSide,Pressure at BagHouse Inlet,DP Across baghouse - UpperSide,DP Across baghouse - LowerSide,Pressure ID Fan Inlet,Canopy Damper Position,,,ID Fan1 Speed,ID Fan1 Current,ID Fan2 Speed,ID Fan2 Current
02.09.2024_18.40.09,32,4897.492,0,-14.43504,92.92535,463.0678,186.4,182.5,92.68663,-123.763,-129.3692,82.6,81.4,-222.6346,15.95776,18.80498,-401.331,61.37767,42.6,84.7,946.2,221.8495,945.4032,220.7255
02.09.2024_18.45.09,32,5885.105,0,-15.03906,89.96311,415.3248,167.6,165.4,56.16681,-119.1189,-132.3929,76.2,78.7,-223.4809,15.8941,18.3015,-397.0269,61.37767,39.3,77.4,946.2,223.2545,945.4032,221.7793
02.09.2024_18.50.09,64,6912.435,0,-11.67535,63.77315,426.1465,160.4,156.5,64.16016,-129.6658,-126.8518,71.2,75.6,-219.6615,15.66551,18.38831,-393.8802,64.35366,41.2,75,946.2,228.0315,945.4032,221.99
02.09.2024_18.55.09,0,7714.506,0,-11.66088,54.37283,409.1978,155.4,150.5,103.1431,-145.9635,-126.0706,67.9,73.2,-220.3993,14.89149,17.69531,-388.0208,64.35366,39.9,72.7,946.2,218.7585,945.4032,213.279
02.09.2024_19.00.10,16,7714.506,3.2,-9.016922,55.59173,308.1814,129,126,54.29326,-116.8186,-114.0914,62.3,67.9,-211.8056,13.87442,16.76794,-372.3597,69.25528,40.7,66.3,946.2,221.9197,945.4032,220.2337
02.09.2024_19.05.09,16,7714.506,11.6,-12.14192,57.34592,281.4055,124.4,121.3,54.01476,-108.3984,-115.3791,61.2,65.2,-211.1762,14.50665,17.2309,-374.7468,69.25528,42.1,64.6,946.2,226.767,945.4032,229.0853
02.09.2024_19.10.09,2048,7714.506,19.8,-12.33723,59.03501,253.635,118,115.2,47.55136,-108.3767,-113.6285,59.8,63.1,-209.3967,14.90451,17.6548,-376.8085,69.25528,41.5,62.7,946.2,224.238,945.4032,224.6595
02.09.2024_19.15.09,2048,7714.506,28,-12.10214,56.83232,237.8002,114.2,111.7,42.8928,-109.4835,-115.8131,58.9,61.9,-214.0408,14.27807,17.33507,-378.2552,69.25528,41.6,61.8,946.2,229.577,945.4032,223.8867
02.09.2024_19.20.10,2048,7714.506,35.6,-10.59028,56.18489,229.9624,111.5,108.8,68.53298,-118.8151,-116.3629,57.6,61,-215.7552,14.51534,17.18316,-379.7744,69.25925,42.1,61.5,946.2,229.3663,945.4032,232.4572
02.09.2024_19.25.10,256,7714.506,37,-6.756363,31.7853,215.2814,106,103,32.61719,-97.56943,-103.2986,56.6,59.8,-203.2335,14.36053,16.87789,-366.2471,78.74023,46.6,58.5,946.2,228.3828,945.4032,228.8042
02.09.2024_19.30.10,2,0,0,-7.910156,39.90885,174.0632,89.9,87.1,29.14497,-118.0121,-130.5845,52.4,55.4,-211.6971,17.15278,19.84086,-399.3779,65.6666,47.1,53.8,946.2,230.7713,945.4032,237.3747
02.09.2024_19.35.10,2,0,0,-7.787178,39.91247,142.1947,82.7,80.7,41.4171,-132.704,-139.265,52.5,54.4,-230.4904,15.72483,18.60243,-408.7457,61.09121,41.8,54.5,946.2,230.0688,945.4032,226.4158
02.09.2024_19.40.10,2,0,0,-7.845047,39.91247,120.8297,78.1,76.5,34.97541,-131.9662,-141.8692,52,52.9,-236.1979,15.07668,17.58825,-405.3819,61.0952,40.7,52.6,946.2,238.2178,945.4032,229.1555
02.09.2024_19.45.10,2,0,0,-7.743782,41.5654,106.9047,74.4,72.9,39.26867,-130.23,-135.952,52.9,52.5,-233.7891,14.94358,18.02373,-405.3458,61.0952,39.5,53,946.2,229.1555,945.4032,229.858
02.09.2024_19.50.10,128,0,0,-9.016922,50.87891,97.4754,70.6,69.60001,37.27937,-114.0625,-120.6018,53.8,53.1,-225.6076,12.55932,15.58449,-374.2405,67.38932,40.5,54.1,946.2,232.949,945.4032,221.9197
02.09.2024_19.55.10,128,0,0,-11.52705,53.12138,105.8702,72.5,71.8,43.29427,-113.7804,-120.9636,55.6,53.7,-223.4809,14.43142,16.88802,-384.9465,66.07639,42.3,56,946.2,234.8457,945.4032,234.4945
02.09.2024_20.00.10,128,0.7342614,0,-11.91768,56.92636,108.2574,74.4,73.7,45.2257,-109.7222,-118.9236,56.4,55,-218.5764,14.17824,16.88368,-379.7382,66.07639,43.4,56.2,946.2,226.9778,945.4032,229.7175
02.09.2024_20.05.09,128,860.9197,0,-9.136284,38.48018,211.3426,105.2,100.5,62.8436,-116.6233,-126.4178,62.1,57.7,-219.1406,15.4239,18.08883,-393.4823,66.07639,45.2,60.9,946.2,229.7878,945.4032,231.825
02.09.2024_20.10.10,128,1013.98,0,-13.00999,54.28241,188.4259,107.6,105,49.83724,-118.4028,-133.0874,58.6,57.5,-222.743,15.43981,18.3044,-395.9418,66.07639,41.9,57.7,946.2,223.6058,945.4032,220.585
02.09.2024_20.15.10,32,2009.208,0,-11.63918,61.01707,301.1791,142.4,136.3,71.92564,-112.6519,-117.8675,65.8,62,-217.4913,15.27923,18.07147,-390.9867,64.77141,45.1,66.5,946.2,230.4902,945.4032,219.742
02.09.2024_20.20.10,32,3007.374,0,-14.19994,91.51476,404.3439,170.2,164.5,103.3456,-122.1788,-126.2442,74.4,71.8,-222.8299,15.95052,18.69647,-403.0309,60.64561,41.9,78.5,946.2,222.4115,945.4032,217.0022
02.09.2024_20.25.09,32,4004.342,0,-13.76953,91.55093,452.4052,187,182.6,58.25015,-93.20749,-123.3941,80.2,77.5,-218.0338,16.31076,18.94965,-401.4396,60.64164,40.9,81.6,946.2,225.362,945.4032,221.9197
02.09.2024_20.30.09,32,5006.892,0,-13.67549,90.14034,468.0013,181.1,177.9,81.46702,-129.362,-122.6418,78.6,78.8,-218.1207,15.99248,18.30729,-394.8929,60.64164,41.1,81.2,946.2,222.7628,945.4032,214.2625
02.09.2024_20.35.09,32,5995.346,0,-14.30845,65.62862,449.2621,170.8,168.3,59.51968,-120.1172,-125.6655,77.1,77.4,-217.4479,15.85069,18.27402,-392.759,60.64164,40.1,77.9,946.2,220.9362,945.4032,220.4445
